Training for 150000 steps ...
     92/150000: episode: 1, duration: 0.205s, episode steps:  92, steps per second: 448, episode reward: -88.329, mean reward: -0.960 [-100.000, 12.252], mean action: 1.391 [0.000, 3.000],  loss: --, mse: --, mean_q: --, mean_eps: --
   1448/150000: episode: 15, duration: 0.854s, episode steps: 117, steps per second: 137, episode reward: -176.510, mean reward: -1.509 [-100.000,  9.711], mean action: 1.598 [0.000, 3.000],  loss: 19.080208, mse: 60.572356, mean_q: 0.431154, mean_eps: 0.991666
   1543/150000: episode: 16, duration: 0.703s, episode steps:  95, steps per second: 135, episode reward: -229.386, mean reward: -2.415 [-100.000,  7.636], mean action: 1.337 [0.000, 3.000],  loss: 27.010389, mse: 78.409288, mean_q: 0.112760, mean_eps: 0.991030
   1627/150000: episode: 17, duration: 0.650s, episode steps:  84, steps per second: 129, episode reward: -91.269, mean reward: -1.087 [-100.000,  7.045], mean action: 1.536 [0.000, 3.000],  loss: 26.965284, mse: 67.970290, mean_q: 0.184571, mean_eps: 0.990493
   1706/150000: episode: 18, duration: 0.605s, episode steps:  79, steps per second: 131, episode reward: -164.146, mean reward: -2.078 [-100.000,  7.436], mean action: 1.747 [0.000, 3.000],  loss: 26.463147, mse: 54.937696, mean_q: 0.399479, mean_eps: 0.990004
   1785/150000: episode: 19, duration: 0.541s, episode steps:  79, steps per second: 146, episode reward: -199.394, mean reward: -2.524 [-100.000, 38.473], mean action: 1.557 [0.000, 3.000],  loss: 24.676186, mse: 59.917865, mean_q: 0.254328, mean_eps: 0.989530
   1897/150000: episode: 20, duration: 0.815s, episode steps: 112, steps per second: 137, episode reward: -259.600, mean reward: -2.318 [-100.000,  4.589], mean action: 1.411 [0.000, 3.000],  loss: 24.381922, mse: 60.860956, mean_q: 0.137613, mean_eps: 0.988957
   2015/150000: episode: 21, duration: 0.800s, episode steps: 118, steps per second: 147, episode reward: -152.682, mean reward: -1.294 [-100.000,  5.444], mean action: 1.661 [0.000, 3.000],  loss: 24.976114, mse: 66.758186, mean_q: 0.241958, mean_eps: 0.988267
   2117/150000: episode: 22, duration: 0.683s, episode steps: 102, steps per second: 149, episode reward: -377.404, mean reward: -3.700 [-100.000,  0.130], mean action: 1.657 [0.000, 3.000],  loss: 17.660416, mse: 83.933755, mean_q: 0.817148, mean_eps: 0.987607
   2192/150000: episode: 23, duration: 0.527s, episode steps:  75, steps per second: 142, episode reward: -108.355, mean reward: -1.445 [-100.000,  6.404], mean action: 1.373 [0.000, 3.000],  loss: 23.661257, mse: 73.037799, mean_q: 1.117678, mean_eps: 0.987076
   2290/150000: episode: 24, duration: 0.712s, episode steps:  98, steps per second: 138, episode reward: -36.327, mean reward: -0.371 [-100.000, 84.449], mean action: 1.663 [0.000, 3.000],  loss: 17.360681, mse: 87.672787, mean_q: 1.039181, mean_eps: 0.986557
   2415/150000: episode: 25, duration: 0.856s, episode steps: 125, steps per second: 146, episode reward: -365.553, mean reward: -2.924 [-100.000, 78.472], mean action: 1.552 [0.000, 3.000],  loss: 26.553277, mse: 93.163398, mean_q: 0.652172, mean_eps: 0.985888
   2494/150000: episode: 26, duration: 0.546s, episode steps:  79, steps per second: 145, episode reward: -52.029, mean reward: -0.659 [-100.000, 17.742], mean action: 1.443 [0.000, 3.000],  loss: 28.320474, mse: 81.459800, mean_q: 1.083292, mean_eps: 0.985276
   2554/150000: episode: 27, duration: 0.414s, episode steps:  60, steps per second: 145, episode reward: -147.706, mean reward: -2.462 [-100.000,  4.795], mean action: 1.467 [0.000, 3.000],  loss: 25.417954, mse: 85.967944, mean_q: 1.365168, mean_eps: 0.984859
   2630/150000: episode: 28, duration: 0.501s, episode steps:  76, steps per second: 152, episode reward: -94.691, mean reward: -1.246 [-100.000,  8.176], mean action: 1.645 [0.000, 3.000],  loss: 24.771440, mse: 75.686592, mean_q: 1.329835, mean_eps: 0.984451
   2766/150000: episode: 29, duration: 0.912s, episode steps: 136, steps per second: 149, episode reward: -27.384, mean reward: -0.201 [-100.000, 113.967], mean action: 1.522 [0.000, 3.000],  loss: 25.138459, mse: 84.159421, mean_q: 1.207119, mean_eps: 0.983815
   2854/150000: episode: 30, duration: 0.646s, episode steps:  88, steps per second: 136, episode reward: -148.928, mean reward: -1.692 [-100.000,  8.125], mean action: 1.477 [0.000, 3.000],  loss: 33.874192, mse: 81.872843, mean_q: 1.316785, mean_eps: 0.983143
   2919/150000: episode: 31, duration: 0.440s, episode steps:  65, steps per second: 148, episode reward: -84.536, mean reward: -1.301 [-100.000,  7.862], mean action: 1.385 [0.000, 3.000],  loss: 37.044269, mse: 100.108945, mean_q: 0.967590, mean_eps: 0.982684
   3042/150000: episode: 32, duration: 0.798s, episode steps: 123, steps per second: 154, episode reward: -162.738, mean reward: -1.323 [-100.000,  3.560], mean action: 1.561 [0.000, 3.000],  loss: 31.266244, mse: 91.992761, mean_q: 1.298685, mean_eps: 0.982120
   3141/150000: episode: 33, duration: 0.684s, episode steps:  99, steps per second: 145, episode reward: -118.211, mean reward: -1.194 [-100.000, 26.962], mean action: 1.424 [0.000, 3.000],  loss: 29.954630, mse: 109.244716, mean_q: 1.833010, mean_eps: 0.981454
   3213/150000: episode: 34, duration: 0.492s, episode steps:  72, steps per second: 146, episode reward: -122.457, mean reward: -1.701 [-100.000,  6.104], mean action: 1.319 [0.000, 3.000],  loss: 25.219067, mse: 111.567928, mean_q: 1.952451, mean_eps: 0.980941
   3321/150000: episode: 35, duration: 0.701s, episode steps: 108, steps per second: 154, episode reward: -461.535, mean reward: -4.273 [-100.000,  1.220], mean action: 1.389 [0.000, 3.000],  loss: 32.040817, mse: 102.589147, mean_q: 2.204351, mean_eps: 0.980401
   3403/150000: episode: 36, duration: 0.526s, episode steps:  82, steps per second: 156, episode reward: -89.260, mean reward: -1.089 [-100.000, 16.310], mean action: 1.415 [0.000, 3.000],  loss: 33.248072, mse: 89.307953, mean_q: 2.153660, mean_eps: 0.979831
   3475/150000: episode: 37, duration: 0.552s, episode steps:  72, steps per second: 130, episode reward: -170.705, mean reward: -2.371 [-100.000,  7.524], mean action: 1.375 [0.000, 3.000],  loss: 34.126539, mse: 91.949646, mean_q: 2.204453, mean_eps: 0.979369
   3600/150000: episode: 38, duration: 0.848s, episode steps: 125, steps per second: 147, episode reward: -192.388, mean reward: -1.539 [-100.000,  6.671], mean action: 1.528 [0.000, 3.000],  loss: 33.609293, mse: 91.248125, mean_q: 2.355376, mean_eps: 0.978778
   3670/150000: episode: 39, duration: 0.456s, episode steps:  70, steps per second: 153, episode reward: -93.577, mean reward: -1.337 [-100.000, 10.537], mean action: 1.314 [0.000, 3.000],  loss: 28.018215, mse: 82.759745, mean_q: 2.426805, mean_eps: 0.978193
   3748/150000: episode: 40, duration: 0.534s, episode steps:  78, steps per second: 146, episode reward: -161.610, mean reward: -2.072 [-100.000,  7.314], mean action: 1.385 [0.000, 3.000],  loss: 30.496408, mse: 91.035368, mean_q: 2.592673, mean_eps: 0.977749
   3836/150000: episode: 41, duration: 0.620s, episode steps:  88, steps per second: 142, episode reward: -145.679, mean reward: -1.655 [-100.000,  5.187], mean action: 1.261 [0.000, 3.000],  loss: 26.785980, mse: 106.840027, mean_q: 1.986601, mean_eps: 0.977251
   3933/150000: episode: 42, duration: 0.666s, episode steps:  97, steps per second: 146, episode reward: -387.209, mean reward: -3.992 [-100.000,  0.811], mean action: 1.557 [0.000, 3.000],  loss: 34.137077, mse: 95.481631, mean_q: 2.211345, mean_eps: 0.976696
   4045/150000: episode: 43, duration: 0.762s, episode steps: 112, steps per second: 147, episode reward: -122.100, mean reward: -1.090 [-100.000,  6.523], mean action: 1.455 [0.000, 3.000],  loss: 27.333925, mse: 94.997855, mean_q: 2.281067, mean_eps: 0.976069
   4155/150000: episode: 44, duration: 0.793s, episode steps: 110, steps per second: 139, episode reward: -203.491, mean reward: -1.850 [-100.000, 29.683], mean action: 1.582 [0.000, 3.000],  loss: 28.036299, mse: 97.421764, mean_q: 2.702860, mean_eps: 0.975403
   4242/150000: episode: 45, duration: 0.574s, episode steps:  87, steps per second: 152, episode reward: -35.881, mean reward: -0.412 [-100.000, 90.896], mean action: 1.621 [0.000, 3.000],  loss: 30.079622, mse: 107.336977, mean_q: 2.664716, mean_eps: 0.974812
   4323/150000: episode: 46, duration: 0.535s, episode steps:  81, steps per second: 152, episode reward: -100.553, mean reward: -1.241 [-100.000,  7.759], mean action: 1.667 [0.000, 3.000],  loss: 25.334972, mse: 101.565022, mean_q: 2.372864, mean_eps: 0.974308
   4411/150000: episode: 47, duration: 0.609s, episode steps:  88, steps per second: 144, episode reward: -71.819, mean reward: -0.816 [-100.000, 17.628], mean action: 1.682 [0.000, 3.000],  loss: 31.093959, mse: 110.465050, mean_q: 2.762885, mean_eps: 0.973801
   4491/150000: episode: 48, duration: 0.552s, episode steps:  80, steps per second: 145, episode reward: -160.486, mean reward: -2.006 [-100.000,  9.341], mean action: 1.413 [0.000, 3.000],  loss: 20.836503, mse: 95.207649, mean_q: 2.587589, mean_eps: 0.973297
   4578/150000: episode: 49, duration: 0.569s, episode steps:  87, steps per second: 153, episode reward: -145.960, mean reward: -1.678 [-100.000,  8.222], mean action: 1.437 [0.000, 3.000],  loss: 21.648655, mse: 107.064399, mean_q: 2.485707, mean_eps: 0.972796
   4666/150000: episode: 50, duration: 0.563s, episode steps:  88, steps per second: 156, episode reward: -250.494, mean reward: -2.847 [-100.000,  3.048], mean action: 1.375 [0.000, 3.000],  loss: 24.299032, mse: 96.091171, mean_q: 2.623359, mean_eps: 0.972271
   4767/150000: episode: 51, duration: 0.725s, episode steps: 101, steps per second: 139, episode reward: -12.892, mean reward: -0.128 [-100.000, 96.429], mean action: 1.634 [0.000, 3.000],  loss: 28.531503, mse: 113.565572, mean_q: 2.516904, mean_eps: 0.971704
   4871/150000: episode: 52, duration: 0.712s, episode steps: 104, steps per second: 146, episode reward: -240.277, mean reward: -2.310 [-100.000,  6.836], mean action: 1.462 [0.000, 3.000],  loss: 28.868695, mse: 110.035260, mean_q: 2.588058, mean_eps: 0.971089
   4940/150000: episode: 53, duration: 0.458s, episode steps:  69, steps per second: 151, episode reward: -76.522, mean reward: -1.109 [-100.000, 26.256], mean action: 1.290 [0.000, 3.000],  loss: 30.400509, mse: 106.303305, mean_q: 2.550284, mean_eps: 0.970570
   5036/150000: episode: 54, duration: 0.643s, episode steps:  96, steps per second: 149, episode reward: -399.568, mean reward: -4.162 [-100.000, 42.623], mean action: 1.448 [0.000, 3.000],  loss: 19.934390, mse: 107.749290, mean_q: 2.526053, mean_eps: 0.970075
   5101/150000: episode: 55, duration: 0.459s, episode steps:  65, steps per second: 142, episode reward: -68.419, mean reward: -1.053 [-100.000, 22.723], mean action: 1.615 [0.000, 3.000],  loss: 24.898583, mse: 145.451646, mean_q: 2.086352, mean_eps: 0.969592
   5200/150000: episode: 56, duration: 0.658s, episode steps:  99, steps per second: 151, episode reward: -193.286, mean reward: -1.952 [-100.000,  6.958], mean action: 1.576 [0.000, 3.000],  loss: 26.574093, mse: 141.660502, mean_q: 2.154327, mean_eps: 0.969100
   5306/150000: episode: 57, duration: 0.735s, episode steps: 106, steps per second: 144, episode reward: -195.586, mean reward: -1.845 [-100.000, 27.239], mean action: 1.274 [0.000, 3.000],  loss: 22.452969, mse: 138.694624, mean_q: 2.234084, mean_eps: 0.968485
   5416/150000: episode: 58, duration: 0.782s, episode steps: 110, steps per second: 141, episode reward: -332.357, mean reward: -3.021 [-100.000,  3.040], mean action: 1.336 [0.000, 3.000],  loss: 18.525897, mse: 135.888809, mean_q: 2.501223, mean_eps: 0.967837
   5521/150000: episode: 59, duration: 0.700s, episode steps: 105, steps per second: 150, episode reward: -260.202, mean reward: -2.478 [-100.000,  0.890], mean action: 1.552 [0.000, 3.000],  loss: 26.795128, mse: 153.520089, mean_q: 2.109052, mean_eps: 0.967192
   5636/150000: episode: 60, duration: 0.759s, episode steps: 115, steps per second: 151, episode reward: -275.826, mean reward: -2.398 [-100.000, 65.110], mean action: 1.383 [0.000, 3.000],  loss: 26.576090, mse: 138.376377, mean_q: 2.219408, mean_eps: 0.966532
   5735/150000: episode: 61, duration: 0.682s, episode steps:  99, steps per second: 145, episode reward: -115.217, mean reward: -1.164 [-100.000, 16.668], mean action: 1.404 [0.000, 3.000],  loss: 24.585216, mse: 142.135729, mean_q: 2.197699, mean_eps: 0.965890
   5850/150000: episode: 62, duration: 0.778s, episode steps: 115, steps per second: 148, episode reward: -182.292, mean reward: -1.585 [-100.000, 12.073], mean action: 1.496 [0.000, 3.000],  loss: 21.743025, mse: 152.723977, mean_q: 2.076945, mean_eps: 0.965248
   5912/150000: episode: 63, duration: 0.404s, episode steps:  62, steps per second: 154, episode reward: -148.825, mean reward: -2.400 [-100.000,  6.941], mean action: 1.565 [0.000, 3.000],  loss: 24.436657, mse: 124.360925, mean_q: 2.537691, mean_eps: 0.964717
   5974/150000: episode: 64, duration: 0.409s, episode steps:  62, steps per second: 152, episode reward: -120.670, mean reward: -1.946 [-100.000,  9.304], mean action: 1.532 [0.000, 3.000],  loss: 27.031461, mse: 136.099513, mean_q: 2.410650, mean_eps: 0.964345
   6040/150000: episode: 65, duration: 0.471s, episode steps:  66, steps per second: 140, episode reward: -54.729, mean reward: -0.829 [-100.000, 10.967], mean action: 1.576 [0.000, 3.000],  loss: 26.861628, mse: 145.053164, mean_q: 2.429787, mean_eps: 0.963961
   6168/150000: episode: 66, duration: 0.852s, episode steps: 128, steps per second: 150, episode reward: -206.394, mean reward: -1.612 [-100.000,  2.493], mean action: 1.562 [0.000, 3.000],  loss: 23.090773, mse: 187.707708, mean_q: 2.019791, mean_eps: 0.963379
   6245/150000: episode: 67, duration: 0.503s, episode steps:  77, steps per second: 153, episode reward: -37.317, mean reward: -0.485 [-100.000, 13.712], mean action: 1.688 [0.000, 3.000],  loss: 17.549039, mse: 163.527666, mean_q: 2.126089, mean_eps: 0.962764
   6388/150000: episode: 68, duration: 0.996s, episode steps: 143, steps per second: 144, episode reward: -236.231, mean reward: -1.652 [-100.000, 14.713], mean action: 1.490 [0.000, 3.000],  loss: 19.107940, mse: 151.189580, mean_q: 2.499550, mean_eps: 0.962104
   6489/150000: episode: 69, duration: 0.671s, episode steps: 101, steps per second: 151, episode reward: -197.215, mean reward: -1.953 [-100.000, 42.839], mean action: 1.386 [0.000, 3.000],  loss: 24.517054, mse: 159.020416, mean_q: 2.422164, mean_eps: 0.961372
   6577/150000: episode: 70, duration: 0.572s, episode steps:  88, steps per second: 154, episode reward: -221.911, mean reward: -2.522 [-100.000, 22.257], mean action: 1.114 [0.000, 3.000],  loss: 27.837485, mse: 156.567358, mean_q: 2.211525, mean_eps: 0.960805
   6650/150000: episode: 71, duration: 0.515s, episode steps:  73, steps per second: 142, episode reward: -120.173, mean reward: -1.646 [-100.000, 14.058], mean action: 1.438 [0.000, 3.000],  loss: 19.525857, mse: 160.188283, mean_q: 2.435135, mean_eps: 0.960322
   6739/150000: episode: 72, duration: 0.608s, episode steps:  89, steps per second: 146, episode reward: -188.965, mean reward: -2.123 [-100.000,  5.398], mean action: 1.371 [0.000, 3.000],  loss: 19.931257, mse: 149.816209, mean_q: 2.634923, mean_eps: 0.959836
   6839/150000: episode: 73, duration: 0.674s, episode steps: 100, steps per second: 148, episode reward: -103.383, mean reward: -1.034 [-100.000, 12.034], mean action: 1.550 [0.000, 3.000],  loss: 19.235504, mse: 153.687558, mean_q: 2.289283, mean_eps: 0.959269
   6925/150000: episode: 74, duration: 0.573s, episode steps:  86, steps per second: 150, episode reward: -303.277, mean reward: -3.526 [-100.000,  3.000], mean action: 1.384 [0.000, 3.000],  loss: 20.477552, mse: 149.770313, mean_q: 2.346229, mean_eps: 0.958711
   7014/150000: episode: 75, duration: 0.632s, episode steps:  89, steps per second: 141, episode reward: -171.415, mean reward: -1.926 [-100.000, 17.761], mean action: 1.427 [0.000, 3.000],  loss: 24.088174, mse: 152.378829, mean_q: 2.287008, mean_eps: 0.958186
   7098/150000: episode: 76, duration: 0.610s, episode steps:  84, steps per second: 138, episode reward: -88.033, mean reward: -1.048 [-100.000,  9.122], mean action: 1.667 [0.000, 3.000],  loss: 18.162565, mse: 194.861898, mean_q: 2.656217, mean_eps: 0.957667
   7214/150000: episode: 77, duration: 0.885s, episode steps: 116, steps per second: 131, episode reward: -83.125, mean reward: -0.717 [-100.000,  9.577], mean action: 1.405 [0.000, 3.000],  loss: 19.694390, mse: 202.583509, mean_q: 2.817097, mean_eps: 0.957067
   7337/150000: episode: 78, duration: 0.952s, episode steps: 123, steps per second: 129, episode reward: -133.114, mean reward: -1.082 [-100.000,  7.130], mean action: 1.398 [0.000, 3.000],  loss: 22.749673, mse: 204.250399, mean_q: 2.826390, mean_eps: 0.956350
   7451/150000: episode: 79, duration: 0.789s, episode steps: 114, steps per second: 144, episode reward: -160.886, mean reward: -1.411 [-100.000,  6.058], mean action: 1.377 [0.000, 3.000],  loss: 19.675572, mse: 219.126482, mean_q: 2.865002, mean_eps: 0.955639
   7531/150000: episode: 80, duration: 0.587s, episode steps:  80, steps per second: 136, episode reward: -206.984, mean reward: -2.587 [-100.000,  6.042], mean action: 1.650 [0.000, 3.000],  loss: 20.804125, mse: 196.516188, mean_q: 3.310885, mean_eps: 0.955057
   7640/150000: episode: 81, duration: 0.792s, episode steps: 109, steps per second: 138, episode reward: -415.163, mean reward: -3.809 [-100.000,  1.126], mean action: 1.339 [0.000, 3.000],  loss: 24.365950, mse: 215.524305, mean_q: 2.773900, mean_eps: 0.954490
   7721/150000: episode: 82, duration: 0.575s, episode steps:  81, steps per second: 141, episode reward: -104.429, mean reward: -1.289 [-100.000, 23.670], mean action: 1.420 [0.000, 3.000],  loss: 13.267439, mse: 192.718591, mean_q: 2.804929, mean_eps: 0.953920
   7793/150000: episode: 83, duration: 0.497s, episode steps:  72, steps per second: 145, episode reward: -72.643, mean reward: -1.009 [-100.000, 10.943], mean action: 1.444 [0.000, 3.000],  loss: 19.174762, mse: 180.316306, mean_q: 3.252755, mean_eps: 0.953461
   7888/150000: episode: 84, duration: 0.675s, episode steps:  95, steps per second: 141, episode reward: -69.153, mean reward: -0.728 [-100.000, 13.174], mean action: 1.442 [0.000, 3.000],  loss: 19.375052, mse: 208.206584, mean_q: 2.841674, mean_eps: 0.952960
   7980/150000: episode: 85, duration: 0.600s, episode steps:  92, steps per second: 153, episode reward: -209.768, mean reward: -2.280 [-100.000,  1.015], mean action: 1.554 [0.000, 3.000],  loss: 21.195277, mse: 214.591181, mean_q: 2.628002, mean_eps: 0.952399
   8090/150000: episode: 86, duration: 0.736s, episode steps: 110, steps per second: 149, episode reward: -158.974, mean reward: -1.445 [-100.000, 56.417], mean action: 1.600 [0.000, 3.000],  loss: 22.773861, mse: 247.959071, mean_q: 3.342525, mean_eps: 0.951793
   8183/150000: episode: 87, duration: 0.664s, episode steps:  93, steps per second: 140, episode reward: -125.725, mean reward: -1.352 [-100.000, 19.082], mean action: 1.495 [0.000, 3.000],  loss: 19.144958, mse: 223.662431, mean_q: 3.993222, mean_eps: 0.951184
   8300/150000: episode: 88, duration: 0.783s, episode steps: 117, steps per second: 149, episode reward: -123.496, mean reward: -1.056 [-100.000, 15.790], mean action: 1.496 [0.000, 3.000],  loss: 22.798269, mse: 236.738849, mean_q: 3.808509, mean_eps: 0.950554
   8376/150000: episode: 89, duration: 0.492s, episode steps:  76, steps per second: 154, episode reward: -222.584, mean reward: -2.929 [-100.000,  4.498], mean action: 1.382 [0.000, 3.000],  loss: 21.706819, mse: 211.150450, mean_q: 4.019166, mean_eps: 0.949975
   8462/150000: episode: 90, duration: 0.576s, episode steps:  86, steps per second: 149, episode reward: -286.519, mean reward: -3.332 [-100.000, 75.320], mean action: 1.558 [0.000, 3.000],  loss: 19.224261, mse: 230.055874, mean_q: 3.846646, mean_eps: 0.949489
   8536/150000: episode: 91, duration: 0.540s, episode steps:  74, steps per second: 137, episode reward: -233.042, mean reward: -3.149 [-100.000,  4.437], mean action: 1.676 [0.000, 3.000],  loss: 23.355952, mse: 248.451150, mean_q: 3.716778, mean_eps: 0.949009
   8597/150000: episode: 92, duration: 0.422s, episode steps:  61, steps per second: 145, episode reward: -8.512, mean reward: -0.140 [-100.000, 95.754], mean action: 1.377 [0.000, 3.000],  loss: 16.560294, mse: 234.086948, mean_q: 3.822993, mean_eps: 0.948604
   8690/150000: episode: 93, duration: 0.607s, episode steps:  93, steps per second: 153, episode reward: -108.535, mean reward: -1.167 [-100.000, 15.018], mean action: 1.634 [0.000, 3.000],  loss: 24.170956, mse: 265.697091, mean_q: 3.649431, mean_eps: 0.948142
   8764/150000: episode: 94, duration: 0.477s, episode steps:  74, steps per second: 155, episode reward: -84.431, mean reward: -1.141 [-100.000,  7.858], mean action: 1.378 [0.000, 3.000],  loss: 24.713564, mse: 256.438781, mean_q: 3.743164, mean_eps: 0.947641
   8845/150000: episode: 95, duration: 0.590s, episode steps:  81, steps per second: 137, episode reward: -160.270, mean reward: -1.979 [-100.000,  8.184], mean action: 1.444 [0.000, 3.000],  loss: 17.676709, mse: 200.198546, mean_q: 4.104365, mean_eps: 0.947176
   8961/150000: episode: 96, duration: 0.782s, episode steps: 116, steps per second: 148, episode reward: -196.079, mean reward: -1.690 [-100.000, 29.034], mean action: 1.319 [0.000, 3.000],  loss: 17.577961, mse: 244.511469, mean_q: 3.842659, mean_eps: 0.946585
   9070/150000: episode: 97, duration: 0.727s, episode steps: 109, steps per second: 150, episode reward: -158.353, mean reward: -1.453 [-100.000,  2.080], mean action: 1.578 [0.000, 3.000],  loss: 20.832241, mse: 282.200390, mean_q: 3.515083, mean_eps: 0.945910
   9154/150000: episode: 98, duration: 0.613s, episode steps:  84, steps per second: 137, episode reward: -95.148, mean reward: -1.133 [-100.000,  7.216], mean action: 1.560 [0.000, 3.000],  loss: 16.083165, mse: 274.330855, mean_q: 4.174236, mean_eps: 0.945331
   9266/150000: episode: 99, duration: 0.823s, episode steps: 112, steps per second: 136, episode reward: -81.558, mean reward: -0.728 [-100.000, 84.162], mean action: 1.536 [0.000, 3.000],  loss: 20.376330, mse: 302.787738, mean_q: 3.755248, mean_eps: 0.944743
   9365/150000: episode: 100, duration: 0.760s, episode steps:  99, steps per second: 130, episode reward: -231.501, mean reward: -2.338 [-100.000, 34.740], mean action: 1.485 [0.000, 3.000],  loss: 21.378181, mse: 260.949124, mean_q: 4.130593, mean_eps: 0.944110
   9436/150000: episode: 101, duration: 0.578s, episode steps:  71, steps per second: 123, episode reward: -116.721, mean reward: -1.644 [-100.000, 44.446], mean action: 1.592 [0.000, 3.000],  loss: 18.154486, mse: 284.770661, mean_q: 3.914036, mean_eps: 0.943600
   9520/150000: episode: 102, duration: 0.656s, episode steps:  84, steps per second: 128, episode reward: -377.647, mean reward: -4.496 [-100.000,  0.285], mean action: 1.571 [0.000, 3.000],  loss: 14.259278, mse: 266.075197, mean_q: 3.740820, mean_eps: 0.943135
   9610/150000: episode: 103, duration: 0.659s, episode steps:  90, steps per second: 137, episode reward: -157.826, mean reward: -1.754 [-100.000,  6.014], mean action: 1.544 [0.000, 3.000],  loss: 17.819671, mse: 317.132493, mean_q: 3.338509, mean_eps: 0.942613
   9694/150000: episode: 104, duration: 0.650s, episode steps:  84, steps per second: 129, episode reward: -90.820, mean reward: -1.081 [-100.000,  6.649], mean action: 1.524 [0.000, 3.000],  loss: 29.054621, mse: 282.652735, mean_q: 3.830502, mean_eps: 0.942091
