Training for 150000 steps ...
     57/150000: episode: 1, duration: 0.285s, episode steps:  57, steps per second: 200, episode reward: -90.955, mean reward: -1.596 [-100.000,  6.351], mean action: 1.421 [0.000, 3.000],  loss: --, mse: --, mean_q: --, mean_eps: --
   2328/150000: episode: 25, duration: 0.707s, episode steps: 103, steps per second: 146, episode reward: -194.756, mean reward: -1.891 [-100.000, 35.155], mean action: 1.359 [0.000, 3.000],  loss: 25.109820, mse: 125.145375, mean_q: 0.024613, mean_eps: 0.986344
   2423/150000: episode: 26, duration: 0.607s, episode steps:  95, steps per second: 156, episode reward: -95.492, mean reward: -1.005 [-100.000, 21.066], mean action: 1.389 [0.000, 3.000],  loss: 18.999315, mse: 104.936732, mean_q: 0.255518, mean_eps: 0.985750
   2514/150000: episode: 27, duration: 0.655s, episode steps:  91, steps per second: 139, episode reward: -122.263, mean reward: -1.344 [-100.000, 20.764], mean action: 1.495 [0.000, 3.000],  loss: 15.006702, mse: 117.929488, mean_q: 0.001990, mean_eps: 0.985192
   2610/150000: episode: 28, duration: 0.633s, episode steps:  96, steps per second: 152, episode reward: -329.457, mean reward: -3.432 [-100.000,  0.492], mean action: 1.385 [0.000, 3.000],  loss: 19.184384, mse: 111.527271, mean_q: 0.046675, mean_eps: 0.984631
   2731/150000: episode: 29, duration: 0.745s, episode steps: 121, steps per second: 162, episode reward: -188.005, mean reward: -1.554 [-100.000,  1.705], mean action: 1.413 [0.000, 3.000],  loss: 22.096556, mse: 104.641173, mean_q: 0.129578, mean_eps: 0.983980
   2829/150000: episode: 30, duration: 0.658s, episode steps:  98, steps per second: 149, episode reward: -172.883, mean reward: -1.764 [-100.000, 13.629], mean action: 1.684 [0.000, 3.000],  loss: 18.264833, mse: 90.844918, mean_q: 0.449486, mean_eps: 0.983323
   2894/150000: episode: 31, duration: 0.429s, episode steps:  65, steps per second: 151, episode reward: -101.965, mean reward: -1.569 [-100.000,  5.982], mean action: 1.538 [0.000, 3.000],  loss: 15.060428, mse: 84.894822, mean_q: 0.388312, mean_eps: 0.982834
   2978/150000: episode: 32, duration: 0.536s, episode steps:  84, steps per second: 157, episode reward: -322.770, mean reward: -3.842 [-100.000,  4.079], mean action: 1.369 [0.000, 3.000],  loss: 14.432115, mse: 95.885260, mean_q: 0.123283, mean_eps: 0.982387
   3067/150000: episode: 33, duration: 0.599s, episode steps:  89, steps per second: 149, episode reward: -311.099, mean reward: -3.495 [-100.000,  3.767], mean action: 1.528 [0.000, 3.000],  loss: 17.405785, mse: 133.833763, mean_q: -0.282099, mean_eps: 0.981868
   3188/150000: episode: 34, duration: 0.852s, episode steps: 121, steps per second: 142, episode reward: -87.651, mean reward: -0.724 [-100.000,  8.210], mean action: 1.322 [0.000, 3.000],  loss: 20.120881, mse: 144.824209, mean_q: -0.266787, mean_eps: 0.981238
   3275/150000: episode: 35, duration: 0.542s, episode steps:  87, steps per second: 161, episode reward: -128.697, mean reward: -1.479 [-100.000, 11.417], mean action: 1.667 [0.000, 3.000],  loss: 15.821804, mse: 133.690426, mean_q: 0.068013, mean_eps: 0.980614
   3391/150000: episode: 36, duration: 0.740s, episode steps: 116, steps per second: 157, episode reward: -341.051, mean reward: -2.940 [-100.000, 18.133], mean action: 1.552 [0.000, 3.000],  loss: 18.393157, mse: 125.927583, mean_q: 0.045871, mean_eps: 0.980005
   3456/150000: episode: 37, duration: 0.458s, episode steps:  65, steps per second: 142, episode reward: -181.802, mean reward: -2.797 [-100.000, 32.198], mean action: 1.708 [0.000, 3.000],  loss: 19.346674, mse: 156.626113, mean_q: -0.287112, mean_eps: 0.979462
   3588/150000: episode: 38, duration: 0.824s, episode steps: 132, steps per second: 160, episode reward: -95.589, mean reward: -0.724 [-100.000, 12.456], mean action: 1.659 [0.000, 3.000],  loss: 21.765356, mse: 147.101553, mean_q: -0.082919, mean_eps: 0.978871
   3658/150000: episode: 39, duration: 0.520s, episode steps:  70, steps per second: 135, episode reward: -95.964, mean reward: -1.371 [-100.000,  9.556], mean action: 1.314 [0.000, 3.000],  loss: 15.032457, mse: 125.102615, mean_q: 0.324302, mean_eps: 0.978265
   3714/150000: episode: 40, duration: 0.396s, episode steps:  56, steps per second: 141, episode reward: -106.959, mean reward: -1.910 [-100.000, 11.574], mean action: 1.357 [0.000, 3.000],  loss: 14.734579, mse: 131.192351, mean_q: 0.284004, mean_eps: 0.977887
   3799/150000: episode: 41, duration: 0.665s, episode steps:  85, steps per second: 128, episode reward: -226.980, mean reward: -2.670 [-100.000, 71.907], mean action: 1.388 [0.000, 3.000],  loss: 17.292211, mse: 133.302690, mean_q: 0.082325, mean_eps: 0.977464
   3869/150000: episode: 42, duration: 0.491s, episode steps:  70, steps per second: 143, episode reward: -73.492, mean reward: -1.050 [-100.000,  8.350], mean action: 1.343 [0.000, 3.000],  loss: 14.958752, mse: 145.934741, mean_q: 0.194049, mean_eps: 0.976999
   3942/150000: episode: 43, duration: 0.525s, episode steps:  73, steps per second: 139, episode reward: -133.994, mean reward: -1.836 [-100.000,  6.920], mean action: 1.356 [0.000, 3.000],  loss: 26.751895, mse: 168.033069, mean_q: -0.355527, mean_eps: 0.976570
   4024/150000: episode: 44, duration: 0.619s, episode steps:  82, steps per second: 132, episode reward: -117.990, mean reward: -1.439 [-100.000,  8.731], mean action: 1.598 [0.000, 3.000],  loss: 20.850154, mse: 141.333492, mean_q: 0.476323, mean_eps: 0.976105
   4111/150000: episode: 45, duration: 0.661s, episode steps:  87, steps per second: 132, episode reward: -115.880, mean reward: -1.332 [-100.000, 14.842], mean action: 1.517 [0.000, 3.000],  loss: 19.786972, mse: 194.205910, mean_q: 0.621060, mean_eps: 0.975598
   4213/150000: episode: 46, duration: 0.794s, episode steps: 102, steps per second: 128, episode reward: -393.192, mean reward: -3.855 [-100.000,  3.988], mean action: 1.245 [0.000, 3.000],  loss: 15.437135, mse: 186.722277, mean_q: 0.640599, mean_eps: 0.975031
   4305/150000: episode: 47, duration: 0.612s, episode steps:  92, steps per second: 150, episode reward: -53.391, mean reward: -0.580 [-100.000, 57.515], mean action: 1.565 [0.000, 3.000],  loss: 19.069647, mse: 201.575355, mean_q: 0.228641, mean_eps: 0.974449
   4381/150000: episode: 48, duration: 0.539s, episode steps:  76, steps per second: 141, episode reward: -168.079, mean reward: -2.212 [-100.000,  4.794], mean action: 1.395 [0.000, 3.000],  loss: 14.516202, mse: 174.694253, mean_q: 0.727307, mean_eps: 0.973945
   4484/150000: episode: 49, duration: 0.669s, episode steps: 103, steps per second: 154, episode reward: -207.237, mean reward: -2.012 [-100.000,  1.045], mean action: 1.544 [0.000, 3.000],  loss: 17.216588, mse: 200.001623, mean_q: 0.152813, mean_eps: 0.973408
   4584/150000: episode: 50, duration: 0.659s, episode steps: 100, steps per second: 152, episode reward: -95.190, mean reward: -0.952 [-100.000, 17.708], mean action: 1.260 [0.000, 3.000],  loss: 15.417382, mse: 206.788149, mean_q: 0.411199, mean_eps: 0.972799
   4658/150000: episode: 51, duration: 0.539s, episode steps:  74, steps per second: 137, episode reward: -194.207, mean reward: -2.624 [-100.000, 24.540], mean action: 1.581 [0.000, 3.000],  loss: 14.866108, mse: 193.589574, mean_q: 0.541749, mean_eps: 0.972277
   4732/150000: episode: 52, duration: 0.558s, episode steps:  74, steps per second: 133, episode reward: -140.945, mean reward: -1.905 [-100.000, 17.883], mean action: 1.608 [0.000, 3.000],  loss: 21.189041, mse: 196.148730, mean_q: 0.205664, mean_eps: 0.971833
   4803/150000: episode: 53, duration: 0.485s, episode steps:  71, steps per second: 146, episode reward: -79.285, mean reward: -1.117 [-100.000, 12.824], mean action: 1.577 [0.000, 3.000],  loss: 15.148001, mse: 167.858300, mean_q: 0.944806, mean_eps: 0.971398
   4888/150000: episode: 54, duration: 0.595s, episode steps:  85, steps per second: 143, episode reward: -212.824, mean reward: -2.504 [-100.000,  4.832], mean action: 1.341 [0.000, 3.000],  loss: 14.023862, mse: 196.113887, mean_q: 0.461975, mean_eps: 0.970930
   4953/150000: episode: 55, duration: 0.466s, episode steps:  65, steps per second: 139, episode reward: -59.614, mean reward: -0.917 [-100.000, 24.476], mean action: 1.446 [0.000, 3.000],  loss: 20.509391, mse: 186.287923, mean_q: 0.491911, mean_eps: 0.970480
   5047/150000: episode: 56, duration: 0.622s, episode steps:  94, steps per second: 151, episode reward: -110.052, mean reward: -1.171 [-100.000,  7.035], mean action: 1.479 [0.000, 3.000],  loss: 13.213498, mse: 201.491285, mean_q: 0.452290, mean_eps: 0.970003
   5169/150000: episode: 57, duration: 0.817s, episode steps: 122, steps per second: 149, episode reward: -66.437, mean reward: -0.545 [-100.000, 11.941], mean action: 1.279 [0.000, 3.000],  loss: 12.416266, mse: 225.697970, mean_q: 0.253021, mean_eps: 0.969355
   5250/150000: episode: 58, duration: 0.553s, episode steps:  81, steps per second: 147, episode reward: 22.361, mean reward:  0.276 [-100.000, 116.681], mean action: 1.457 [0.000, 3.000],  loss: 18.138996, mse: 250.124542, mean_q: -0.035254, mean_eps: 0.968746
   5321/150000: episode: 59, duration: 0.515s, episode steps:  71, steps per second: 138, episode reward: -218.645, mean reward: -3.080 [-100.000, 60.964], mean action: 1.423 [0.000, 3.000],  loss: 17.998899, mse: 250.000812, mean_q: 0.168516, mean_eps: 0.968290
   5411/150000: episode: 60, duration: 0.613s, episode steps:  90, steps per second: 147, episode reward: -118.956, mean reward: -1.322 [-100.000,  6.319], mean action: 1.511 [0.000, 3.000],  loss: 20.966258, mse: 250.077189, mean_q: -0.262126, mean_eps: 0.967807
   5515/150000: episode: 61, duration: 0.731s, episode steps: 104, steps per second: 142, episode reward: -94.746, mean reward: -0.911 [-100.000,  9.555], mean action: 1.510 [0.000, 3.000],  loss: 15.807337, mse: 230.921868, mean_q: 0.350757, mean_eps: 0.967225
   5600/150000: episode: 62, duration: 0.609s, episode steps:  85, steps per second: 140, episode reward: -288.070, mean reward: -3.389 [-100.000,  2.195], mean action: 1.365 [0.000, 3.000],  loss: 21.205572, mse: 267.872874, mean_q: -0.259812, mean_eps: 0.966658
   5673/150000: episode: 63, duration: 0.498s, episode steps:  73, steps per second: 147, episode reward: -107.486, mean reward: -1.472 [-100.000,  6.713], mean action: 1.616 [0.000, 3.000],  loss: 12.505441, mse: 239.218347, mean_q: 0.249199, mean_eps: 0.966184
   5803/150000: episode: 64, duration: 0.917s, episode steps: 130, steps per second: 142, episode reward: 25.676, mean reward:  0.198 [-100.000, 91.221], mean action: 1.554 [0.000, 3.000],  loss: 13.498718, mse: 250.617960, mean_q: -0.003493, mean_eps: 0.965575
   5898/150000: episode: 65, duration: 0.630s, episode steps:  95, steps per second: 151, episode reward: -100.391, mean reward: -1.057 [-100.000,  7.622], mean action: 1.400 [0.000, 3.000],  loss: 13.012545, mse: 251.649186, mean_q: 0.094829, mean_eps: 0.964900
   5969/150000: episode: 66, duration: 0.476s, episode steps:  71, steps per second: 149, episode reward: -108.904, mean reward: -1.534 [-100.000,  5.716], mean action: 1.690 [0.000, 3.000],  loss: 20.846329, mse: 210.452667, mean_q: 1.045167, mean_eps: 0.964402
   6085/150000: episode: 67, duration: 0.789s, episode steps: 116, steps per second: 147, episode reward: -148.952, mean reward: -1.284 [-100.000,  7.535], mean action: 1.509 [0.000, 3.000],  loss: 17.342513, mse: 255.357690, mean_q: 0.220832, mean_eps: 0.963841
   6154/150000: episode: 68, duration: 0.485s, episode steps:  69, steps per second: 142, episode reward: -100.164, mean reward: -1.452 [-100.000,  7.635], mean action: 1.522 [0.000, 3.000],  loss: 13.086309, mse: 282.548523, mean_q: -0.113839, mean_eps: 0.963286
   6228/150000: episode: 69, duration: 0.650s, episode steps:  74, steps per second: 114, episode reward: -167.870, mean reward: -2.269 [-100.000, 21.365], mean action: 1.527 [0.000, 3.000],  loss: 15.709033, mse: 307.330863, mean_q: -0.230579, mean_eps: 0.962857
   6353/150000: episode: 70, duration: 0.835s, episode steps: 125, steps per second: 150, episode reward: -82.270, mean reward: -0.658 [-100.000, 38.532], mean action: 1.520 [0.000, 3.000],  loss: 19.101407, mse: 284.275537, mean_q: 0.423858, mean_eps: 0.962260
   6451/150000: episode: 71, duration: 0.625s, episode steps:  98, steps per second: 157, episode reward: -93.346, mean reward: -0.953 [-100.000,  7.399], mean action: 1.602 [0.000, 3.000],  loss: 12.928607, mse: 308.805258, mean_q: -0.140928, mean_eps: 0.961591
   6563/150000: episode: 72, duration: 0.791s, episode steps: 112, steps per second: 142, episode reward: -255.263, mean reward: -2.279 [-100.000,  6.377], mean action: 1.491 [0.000, 3.000],  loss: 19.086617, mse: 296.760632, mean_q: 0.329577, mean_eps: 0.960961
   6649/150000: episode: 73, duration: 0.561s, episode steps:  86, steps per second: 153, episode reward: -345.221, mean reward: -4.014 [-100.000,  0.378], mean action: 1.663 [0.000, 3.000],  loss: 16.426368, mse: 297.628578, mean_q: -0.144554, mean_eps: 0.960367
   6712/150000: episode: 74, duration: 0.406s, episode steps:  63, steps per second: 155, episode reward: -121.621, mean reward: -1.930 [-100.000, 19.717], mean action: 1.365 [0.000, 3.000],  loss: 21.405613, mse: 308.554496, mean_q: 0.013653, mean_eps: 0.959920
   6834/150000: episode: 75, duration: 0.861s, episode steps: 122, steps per second: 142, episode reward: -131.737, mean reward: -1.080 [-100.000, 16.042], mean action: 1.566 [0.000, 3.000],  loss: 16.907425, mse: 306.344348, mean_q: -0.086858, mean_eps: 0.959365
   6911/150000: episode: 76, duration: 0.633s, episode steps:  77, steps per second: 122, episode reward: -68.299, mean reward: -0.887 [-100.000, 11.590], mean action: 1.610 [0.000, 3.000],  loss: 12.923664, mse: 272.641417, mean_q: 0.853750, mean_eps: 0.958768
   6998/150000: episode: 77, duration: 0.706s, episode steps:  87, steps per second: 123, episode reward: -112.674, mean reward: -1.295 [-100.000, 11.638], mean action: 1.414 [0.000, 3.000],  loss: 18.092779, mse: 258.481718, mean_q: 0.761612, mean_eps: 0.958276
   7076/150000: episode: 78, duration: 0.637s, episode steps:  78, steps per second: 122, episode reward: -92.428, mean reward: -1.185 [-100.000,  8.663], mean action: 1.359 [0.000, 3.000],  loss: 16.372780, mse: 324.226514, mean_q: 0.594116, mean_eps: 0.957781
   7203/150000: episode: 79, duration: 0.913s, episode steps: 127, steps per second: 139, episode reward: -200.883, mean reward: -1.582 [-100.000, 23.499], mean action: 1.465 [0.000, 3.000],  loss: 12.846088, mse: 320.331449, mean_q: 0.553864, mean_eps: 0.957166
   7307/150000: episode: 80, duration: 0.868s, episode steps: 104, steps per second: 120, episode reward:  8.704, mean reward:  0.084 [-100.000, 93.519], mean action: 1.596 [0.000, 3.000],  loss: 16.776408, mse: 340.865167, mean_q: 0.437604, mean_eps: 0.956473
   7382/150000: episode: 81, duration: 0.601s, episode steps:  75, steps per second: 125, episode reward: -143.395, mean reward: -1.912 [-100.000, 25.905], mean action: 1.480 [0.000, 3.000],  loss: 21.933704, mse: 330.178000, mean_q: 1.069360, mean_eps: 0.955936
   7467/150000: episode: 82, duration: 0.606s, episode steps:  85, steps per second: 140, episode reward: -124.046, mean reward: -1.459 [-100.000,  7.620], mean action: 1.529 [0.000, 3.000],  loss: 12.713063, mse: 345.343120, mean_q: 0.228285, mean_eps: 0.955456
   7535/150000: episode: 83, duration: 0.432s, episode steps:  68, steps per second: 157, episode reward: -163.239, mean reward: -2.401 [-100.000, 19.761], mean action: 1.456 [0.000, 3.000],  loss: 24.946716, mse: 364.963144, mean_q: 0.067589, mean_eps: 0.954997
   7594/150000: episode: 84, duration: 0.422s, episode steps:  59, steps per second: 140, episode reward: -74.979, mean reward: -1.271 [-100.000,  7.742], mean action: 1.390 [0.000, 3.000],  loss: 15.915174, mse: 396.474645, mean_q: -0.359411, mean_eps: 0.954616
   7661/150000: episode: 85, duration: 0.530s, episode steps:  67, steps per second: 126, episode reward: -118.391, mean reward: -1.767 [-100.000, 37.685], mean action: 1.328 [0.000, 3.000],  loss: 14.014121, mse: 339.723139, mean_q: 0.641623, mean_eps: 0.954238
   7771/150000: episode: 86, duration: 0.998s, episode steps: 110, steps per second: 110, episode reward: -18.668, mean reward: -0.170 [-100.000, 104.011], mean action: 1.445 [0.000, 3.000],  loss: 13.241066, mse: 341.681668, mean_q: 0.222373, mean_eps: 0.953707
   7852/150000: episode: 87, duration: 0.768s, episode steps:  81, steps per second: 106, episode reward: -87.658, mean reward: -1.082 [-100.000, 10.934], mean action: 1.580 [0.000, 3.000],  loss: 15.374493, mse: 320.301406, mean_q: 0.835666, mean_eps: 0.953134
   7943/150000: episode: 88, duration: 0.744s, episode steps:  91, steps per second: 122, episode reward: -215.943, mean reward: -2.373 [-100.000, 29.814], mean action: 1.451 [0.000, 3.000],  loss: 12.632499, mse: 341.688424, mean_q: 0.259130, mean_eps: 0.952618
   8049/150000: episode: 89, duration: 0.864s, episode steps: 106, steps per second: 123, episode reward: -317.910, mean reward: -2.999 [-100.000,  0.732], mean action: 1.462 [0.000, 3.000],  loss: 16.346317, mse: 360.247679, mean_q: 0.510841, mean_eps: 0.952027
   8151/150000: episode: 90, duration: 0.759s, episode steps: 102, steps per second: 134, episode reward: -56.657, mean reward: -0.555 [-100.000, 17.407], mean action: 1.578 [0.000, 3.000],  loss: 18.069387, mse: 415.246927, mean_q: 0.218277, mean_eps: 0.951403
   8222/150000: episode: 91, duration: 0.525s, episode steps:  71, steps per second: 135, episode reward: -126.982, mean reward: -1.788 [-100.000, 39.221], mean action: 1.493 [0.000, 3.000],  loss: 14.256657, mse: 385.508974, mean_q: 0.107500, mean_eps: 0.950884
   8301/150000: episode: 92, duration: 0.570s, episode steps:  79, steps per second: 138, episode reward: -123.150, mean reward: -1.559 [-100.000, 19.100], mean action: 1.532 [0.000, 3.000],  loss: 16.674513, mse: 395.103128, mean_q: 0.195750, mean_eps: 0.950434
   8391/150000: episode: 93, duration: 0.605s, episode steps:  90, steps per second: 149, episode reward: -219.435, mean reward: -2.438 [-100.000, 21.239], mean action: 1.511 [0.000, 3.000],  loss: 16.224666, mse: 376.486067, mean_q: 0.887963, mean_eps: 0.949927
   8462/150000: episode: 94, duration: 0.576s, episode steps:  71, steps per second: 123, episode reward: -75.709, mean reward: -1.066 [-100.000, 13.400], mean action: 1.634 [0.000, 3.000],  loss: 14.414950, mse: 423.301715, mean_q: 0.085635, mean_eps: 0.949444
   8544/150000: episode: 95, duration: 0.757s, episode steps:  82, steps per second: 108, episode reward: -72.508, mean reward: -0.884 [-100.000, 19.005], mean action: 1.512 [0.000, 3.000],  loss: 14.020131, mse: 431.189830, mean_q: -0.308806, mean_eps: 0.948985
   8626/150000: episode: 96, duration: 0.884s, episode steps:  82, steps per second:  93, episode reward: -121.416, mean reward: -1.481 [-100.000,  6.110], mean action: 1.659 [0.000, 3.000],  loss: 16.912607, mse: 411.216137, mean_q: 0.074258, mean_eps: 0.948493
   8720/150000: episode: 97, duration: 1.057s, episode steps:  94, steps per second:  89, episode reward: -120.717, mean reward: -1.284 [-100.000,  6.098], mean action: 1.553 [0.000, 3.000],  loss: 14.724296, mse: 396.200844, mean_q: 0.631994, mean_eps: 0.947965
   8798/150000: episode: 98, duration: 0.919s, episode steps:  78, steps per second:  85, episode reward: -106.202, mean reward: -1.362 [-100.000,  7.485], mean action: 1.500 [0.000, 3.000],  loss: 13.005676, mse: 401.134206, mean_q: 0.383403, mean_eps: 0.947449
   8865/150000: episode: 99, duration: 1.396s, episode steps:  67, steps per second:  48, episode reward: -109.238, mean reward: -1.630 [-100.000, 38.578], mean action: 1.418 [0.000, 3.000],  loss: 14.171278, mse: 406.314312, mean_q: 0.501571, mean_eps: 0.947014
   8955/150000: episode: 100, duration: 0.908s, episode steps:  90, steps per second:  99, episode reward: -418.478, mean reward: -4.650 [-100.000,  0.029], mean action: 1.444 [0.000, 3.000],  loss: 15.277829, mse: 401.866801, mean_q: 0.414944, mean_eps: 0.946543
   9018/150000: episode: 101, duration: 0.519s, episode steps:  63, steps per second: 121, episode reward: -158.932, mean reward: -2.523 [-100.000,  8.705], mean action: 1.524 [0.000, 3.000],  loss: 13.607506, mse: 418.464912, mean_q: 0.514834, mean_eps: 0.946084
   9080/150000: episode: 102, duration: 0.622s, episode steps:  62, steps per second: 100, episode reward: -111.246, mean reward: -1.794 [-100.000,  5.687], mean action: 1.419 [0.000, 3.000],  loss: 20.495106, mse: 476.912144, mean_q: 0.239792, mean_eps: 0.945709
   9139/150000: episode: 103, duration: 0.490s, episode steps:  59, steps per second: 120, episode reward: -165.224, mean reward: -2.800 [-100.000,  6.756], mean action: 1.390 [0.000, 3.000],  loss: 20.646714, mse: 472.565723, mean_q: 0.467413, mean_eps: 0.945346
   9254/150000: episode: 104, duration: 0.877s, episode steps: 115, steps per second: 131, episode reward:  9.990, mean reward:  0.087 [-100.000, 90.708], mean action: 1.539 [0.000, 3.000],  loss: 13.879553, mse: 506.046884, mean_q: 0.122336, mean_eps: 0.944824
